depth,C14_age,C14_error,event,cc
0,-75,1,sample,0
7,,,synchronous,
12,,,isochron1,
27,,,synchronous,
37,,,non-synchronous,
42,,,non-synchronous,
48,,,synchronous,
68,,,synchronous,
75,,,isochron2,
80,,,non-synchronous,
80,,,synchronous,
91,,,synchro-test,
97,1754,24,sample,1
102,1880,40,sample,1
102,,,synchronous,
113,,,isochron3,
113,,,synchronous,
120,,,non-synchronous,
125,,,synchronous,
126,2428,42,sample,1
126,2432,26,sample,1
134,2461,33,sample,1
136,,,synchronous,
147,,,synchronous,
150,,,isochron4,
151,,,non-synchronous,
159,,,synchronous,
170,,,synchronous,
181,,,synchronous,
185,3712,41,sample,1
187,3682,21,sample,1
188,,,isochron5,
193,,,synchronous,
195,,,non-synchronous,
198,3900,36,sample,1
204,,,synchronous,
205,4080,37,sample,1
211,4167,31,sample,1
215,,,synchronous,
216,4281,25,sample,1
226,,,isochron6,
227,,,synchronous,
229,,,non-synchronous,
238,,,synchronous,
