depth,C14_age,C14_error,event,cc
0,-75,1,sample,0
5,,,synchronous,
9,,,isochron1,
20,,,synchronous,
28,,,non-synchronous,
36,,,synchronous,
51,,,synchronous,
58,,,non-synchronous,
60,,,isochron2,
66,,,synchronous,
81,,,non-synchronous,
82,,,synchro-test,
97,,,synchro-test-wrong,
111,,,isochron3,
112,,,synchronous,
115,2216,20,sample,1
119,2209,33,sample,1
128,,,synchronous,
129,2431,38,sample,1
133,,,non-synchronous,
143,,,synchronous,
158,,,synchronous,
162,,,isochron4,
165,,,non-synchronous,
173,3048,32,sample,1
174,,,synchronous,
189,,,synchronous,
200,,,non-synchronous,
204,,,synchronous,
213,,,isochron5,
215,3750,21,sample,1
220,,,synchronous,
223,3863,25,sample,1
231,,,non-synchronous,
235,,,synchronous,
244,4134,46,sample,1
250,,,synchronous,
256,,,non-synchronous,
264,,,isochron6,
266,,,synchronous,
281,,,synchronous,
285,,,non-synchronous,
291,,,non-synchronous,
292,4919,21,sample,1
294,4977,48,sample,1
296,,,synchronous,
311,5314,34,sample,1
312,,,synchronous,
316,,,isochron7,
320,5345,35,sample,1
323,,,non-synchronous,
327,,,synchronous,
333,,,non-synchronous,
338,5746,49,sample,1
342,,,synchronous,
351,,,non-synchronous,
358,,,synchronous,
367,,,isochron8,
371,6303,31,sample,1
373,,,synchronous,
375,,,non-synchronous,
384,,,non-synchronous,
388,,,synchronous,
399,,,non-synchronous,
404,,,synchronous,
415,,,non-synchronous,
418,,,isochron9,
419,,,synchronous,
421,7292,36,sample,1
434,,,synchronous,
439,7713,36,sample,1
441,7791,31,sample,1
449,,,non-synchronous,
450,,,synchronous,
458,7969,20,sample,1
458,7978,36,sample,1
