depth,C14_age,C14_error,event,cc
0,-75,1,sample,0
3,,,synchronous,
5,,,isochron1,
11,187,21,sample,1
12,,,synchronous,
21,,,non-synchronous,
22,,,synchronous,
31,,,synchronous,
34,1139,49,sample,1
35,,,non-synchronous,
36,,,isochron2,
38,1220,40,sample,1
40,,,synchronous,
47,,,synchro-test-wrong,
49,1582,47,sample,1
49,,,synchro-test,
57,1879,43,sample,1
59,,,synchronous,
61,,,non-synchronous,
67,,,isochron3,
68,,,synchronous,
70,2211,22,sample,1
77,,,synchronous,
81,,,non-synchronous,
86,,,synchronous,
96,,,synchronous,
98,,,isochron4,
98,,,non-synchronous,
105,,,synchronous,
107,3177,47,sample,1
108,3193,41,sample,1
114,,,synchronous,
117,,,non-synchronous,
120,,,synchronous,
123,,,isochron5,
125,,,synchronous,
127,3874,39,sample,1
130,,,synchronous,
134,,,synchronous,
135,,,non-synchronous,
135,4380,24,sample,1
138,,,isochron6,
139,4482,23,sample,1
139,,,synchronous,
140,4478,47,sample,1
143,,,synchronous,
148,,,non-synchronous,
148,,,synchronous,
153,,,synchronous,
154,,,isochron7,
156,5437,26,sample,1
157,,,synchronous,
162,,,synchronous,
163,5890,45,sample,1
167,,,non-synchronous,
167,,,synchronous,
171,,,synchronous,
174,6444,49,sample,1
