depth,C14_age,C14_error,event,cc
0,-75,1,sample,0
7,,,synchronous,
12,,,isochron1,
28,,,non-synchronous,
28,,,synchronous,
37,368,34,sample,1
48,580,45,sample,1
48,,,synchronous,
66,,,non-synchronous,
71,,,synchronous,
72,1049,34,sample,1
95,,,isochron2,
97,1192,35,sample,1
106,,,non-synchronous,
112,,,synchronous,
122,1374,24,sample,1
141,,,non-synchronous,
153,,,synchro-test,
167,,,non-synchronous,
195,,,synchronous,
202,1962,37,sample,1
213,,,isochron3,
215,,,synchronous,
220,,,non-synchronous,
231,,,synchronous,
237,,,non-synchronous,
247,,,synchronous,
248,2675,31,sample,1
261,,,non-synchronous,
262,,,synchronous,
266,,,isochron4,
266,2943,26,sample,1
278,,,synchronous,
293,,,non-synchronous,
294,,,synchronous,
295,3385,35,sample,1
310,,,synchronous,
319,,,isochron5,
326,,,synchronous,
336,,,non-synchronous,
342,,,synchronous,
